哥斯拉大战金刚2：帝国崛起,2024-03-29 09:00大陆上映,9.4,9.50
私人订制,2013-12-19大陆上映,7.4,7.13
黑豹,2018-03-09大陆上映,8.4,6.62
澳门风云,2014-01-31大陆上映,8.6,5.24
夺冠,2020-09-25 18:00大陆上映,8.9,8.36
猩球崛起3：终极之战,2017-09-15大陆上映,8.2,7.40
正义联盟,2017-11-17大陆上映,8.6,6.90
银河护卫队2,2017-05-05大陆上映,9.1,6.86
极限特工：终极回归,2017-02-10大陆上映,8.7,11.25
独立日：卷土重来,2016-06-24大陆上映,8.4,5.02
银河护卫队,2014-10-10大陆上映,9.2,5.96
影,2018-09-30大陆上映,8.1,6.28
刺杀小说家,2021-02-12 08:00大陆上映,8.6,10.35
神奇动物在哪里,2016-11-25大陆上映,8.9,5.90
熊出没·变形记,2018-02-16大陆上映,9.碟中谍4,2012-01-28大陆上映,8.8,6.72
1
哆啦A梦：伴我同行,2015-05-28大陆上映,9.0,5.29
2012,2009-11-13大陆上映,8.3,5.84
灌篮高手,2023-04-20大陆上映,9.2,6.60
蚁人2：黄蜂女现身,2018-08-24大陆上映,8.8,8.31
邪不压正,2018-07-13大陆上映,7.7,5.83
左耳,2015-04-24大陆上映,7.9,4.84
惊天魔盗团2,2016-06-24大陆上映,8.5,6.37
让子弹飞,2010-12-16大陆上映,8.5,6.36
神探大战,2022-07-08 18:00大陆上映,9.0,7.12
末路狂花钱,2024-05-01 09:00大陆上映,9.2,5.30
后会无期,2014-07-24大陆上映,8.3,6.28
蜘蛛侠：英雄归来,2017-09-08大陆上映,8.2,7.74
周处除三害,2024-03-01 09:00大陆上映,9.3,6.65
画皮2,2012-06-28大陆上映,7.4,7.02
一步之遥,2014-12-18大陆上映,5.3,5.13
头号玩家,2018-03-30大陆上映,9.0,13.96
非诚勿扰2,2010-12-22大陆上映,7.5,4.71
北京遇上西雅图,2013-03-21大陆上映,8英伦对决,2017-09-30大陆上映,8.4,5.39
�,7.1,5.35
阿丽塔：战斗天使,2019-02-22大陆上映,9.0,8.96
环太平洋：雷霆再起,2018-03-23大陆上映,8.1,6.33
宠爱,2019-12-31大陆上映,8.9,6.83
熊出没·原始时代,2019-02-05大陆上映,9.1,7.17
